iter	Passed	Remaining
0	31	6319
1	62	6202
2	93	6125
3	124	6122
4	161	6286
5	190	6163
6	220	6083
7	250	6015
8	280	5959
9	311	5921
10	341	5862
11	370	5809
12	399	5750
13	429	5709
14	461	5692
15	491	5650
16	522	5624
17	557	5639
18	588	5602
19	617	5553
20	647	5516
21	677	5480
22	707	5448
23	736	5398
24	765	5361
25	795	5322
26	825	5289
27	853	5245
28	884	5213
29	914	5179
30	945	5155
31	975	5123
32	1006	5092
33	1034	5051
34	1064	5018
35	1094	4984
36	1123	4951
37	1158	4938
38	1190	4914
39	1243	4975
40	1307	5071
41	1337	5032
42	1369	5001
43	1397	4955
44	1426	4912
45	1457	4880
46	1489	4848
47	1518	4809
48	1551	4780
49	1583	4750
50	1613	4715
51	1643	4677
52	1674	4643
53	1703	4605
54	1735	4574
55	1765	4539
56	1794	4502
57	1825	4469
58	1854	4433
59	1885	4399
60	1914	4363
61	1943	4326
62	1974	4293
63	2004	4258
64	2034	4226
65	2064	4192
66	2094	4156
67	2124	4123
68	2153	4089
69	2184	4057
70	2214	4023
71	2244	3990
72	2275	3959
73	2306	3927
74	2336	3893
75	2367	3862
76	2376	3796
77	2405	3762
78	2435	3730
79	2465	3698
80	2494	3665
81	2529	3639
82	2562	3612
83	2591	3578
84	2622	3547
85	2650	3513
86	2680	3481
87	2712	3451
88	2744	3422
89	2775	3392
90	2806	3362
91	2836	3330
92	2867	3299
93	2897	3267
94	2927	3235
95	2956	3203
96	2986	3171
97	3016	3139
98	3045	3107
99	3076	3076
100	3107	3046
101	3136	3013
102	3164	2980
103	3194	2949
104	3224	2917
105	3254	2885
106	3283	2853
107	3312	2822
108	3341	2789
109	3371	2758
110	3401	2727
111	3429	2694
112	3458	2662
113	3489	2632
114	3521	2602
115	3553	2573
116	3585	2543
117	3615	2512
118	3644	2480
119	3673	2448
120	3704	2418
121	3733	2386
122	3761	2354
123	3793	2324
124	3820	2292
125	3851	2261
126	3880	2230
127	3908	2198
128	3938	2167
129	3969	2137
130	4001	2107
131	4030	2076
132	4059	2044
133	4088	2013
134	4118	1982
135	4147	1951
136	4176	1920
137	4206	1890
138	4237	1859
139	4266	1828
140	4296	1797
141	4326	1767
142	4355	1736
143	4384	1705
144	4414	1674
145	4444	1643
146	4473	1612
147	4506	1583
148	4540	1554
149	4571	1523
150	4602	1493
151	4632	1462
152	4662	1432
153	4691	1401
154	4720	1370
155	4751	1340
156	4782	1309
157	4812	1279
158	4841	1248
159	4871	1217
160	4900	1187
161	4930	1156
162	4960	1126
163	4993	1096
164	5022	1065
165	5050	1034
166	5079	1003
167	5110	973
168	5140	942
169	5169	912
170	5199	881
171	5228	851
172	5258	820
173	5289	790
174	5318	759
175	5347	729
176	5376	698
177	5408	668
178	5438	637
179	5466	607
180	5499	577
181	5532	547
182	5563	516
183	5594	486
184	5623	455
185	5654	425
186	5686	395
187	5716	364
188	5746	334
189	5777	304
190	5808	273
191	5837	243
192	5866	212
193	5896	182
194	5925	151
195	5954	121
196	5984	91
197	6014	60
198	6044	30
199	6073	0
