Date,Year,Type,Country,Area,Location,Activity,Sex ,Injury,Fatal (Y/N),Species ,Age_clean
2023-07-24,2023.0,Unprovoked,Australia,Western Australia,Gnarabup Beach,Surfing,M,Laceration to leg,N,WHITE SHARK,20.0
2022-11-04,2022.0,Unprovoked,USA,California,"Del Mar Beach, San Diego County",Swimming,F,Shallow punctures & lacerations to right thigh,N,JUVENILE WHITE SHARK,50.0
2022-09-25,2022.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Central Beach, Plettenberg Bay",Swimming,F,FATAL,Y,"WHITE SHARK, 13'",39.0
2021-05-25,2021.0,Provoked,NEW CALEDONIA,Nouville,CHS Beach,Spearfishing,M,Presumed fatal  PROVOKED INCIDENT,Y,UNKNOW,28.0
2021-02-02,2021.0,Watercraft,AUSTRALIA,South Australia,Gleneg,Surf skiing,M,"No injury, surf ski bitten",N,BRONZE WHALER SHARK,17.0
2020-07-27,2020.0,Unprovoked,FRENCH POLYNESIA,Tuamotu Islands,Tikehau,Swimming,M,Leg bitten,N,"BLACKTIP REEF SHARK, JUVENILE",4.0
2020-06-04,2020.0,Unknow,USA,Delaware,"Herring Point, Sussex County",Skimboarding,M,Puncture wounds to leg,N,SHARK INVOLVEMENT UNCONFIRMED BUT CONSIDERED PROBABLE,12.0
2019-12-20,2019.0,Provoked,AUSTRALIA,New South Wales,Shellharbour,Fishing,M,PROVOKED INCIDENT,UNKNOWN,WHITE SHARK,28.0
2019-10-17,2019.0,Unprovoked,AUSTRALIA,Queensland,"Woorim Beach, Bribie Island,",Surfing,M,"No injury, surfboard bitten",N,7' SHARK,17.0
2019-09-15,2019.0,Unprovoked,USA,South Carolina,"Isle of Palms,  Charleston County",Surfing,F,Foot bitten,N,UNKNOW,22.0
2019-05-07,2019.0,Unprovoked,USA,California,"North Salmon Creek Beach, Sonoma County",Surfing,F,"No injury, shark severed surfboard leash",N,WHITE SHARK,28.0
2019-04-05,2019.0,Provoked,CHINA,Liaoning Province,"Laohutan Ocean Park Aquarium, Dalian City",Diving in shark tank,F,"Lacerations to face, chin and scalp",N,SAND TIGER SHARK,28.0
2019-03-21,2019.0,Unprovoked,MEXICO,Guerrero,Troncones,Swimming,M,20 cm gash to right leg,N,UNKNOW,32.0
2018-11-14,2018.0,Watercraft,AUSTRALIA,Queensland,Moffat Beach,Kayaking,M,"No injury to occupant, kayak bitten",N,"TIGER SHARK, 13'",31.0
2018-10-19,2018.0,Unprovoked,NEW ZEALAND,North Island,Baylys Beach,Surfing,M,Severe lacerations to arm and hand and cut to face,N,"WHITE SHARK, 3.2M TO 3.5M",25.0
2018-08-05,2018.0,Unprovoked,USA,North Carolina,"Bald Head Island, Brunswick County",Swimming/Standing,F,Injury to right calf,N,UNKNOW,28.0
2018-02-14,2018.0,Invalid,AUSTRALIA,Queensland,Mooloolaba Beach,Swimming,F,"Collision with marine animal / No injury, no attack",N,POSSIBLY A WOBBEGONG,28.0
2017-09-16,2017.0,Unprovoked,SPAIN,Canary Islands,Gran Canaria,Body surfing,M,Lacerations to right foot,N,"PORBEAGLE, 1.5 M",13.0
2017-08-27,2017.0,Unprovoked,USA,Florida,Bathtub Beach,Wading,F,Leg injured,N,UNKNOW,3.0
2017-06-18,2017.0,Unprovoked,USA,South Carolina,"Burkes Beach, Hilton Head, Beaufort County",Swimming,F,Leg bitten,N,"BULL SHARK, 4' TO 5'",14.0
2017-05-12,2017.0,Unprovoked,UNITED ARAB EMIRATES,"Sharjah,",Khor Fakkan,Spearfishing,M,Right leg severely bitten,N,UNKNOW,41.0
2017-04-29,2017.0,Unprovoked,USA,California,"San Onofre, San Diego County",Swimming,F,Major injury to posterior thigh,N,UNKNOW,28.0
2017-04-27,2017.0,Unprovoked,NEW ZEALAND,South Island,"Porpoise Bay, Catlins",Body boarding,F,Puncture wounds & laceration above knee,N,UNKNOW,20.0
2017-04-10,2017.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,F,Minor injury to left hand,N,UNKNOW,21.0
2017-04-02,2017.0,Unprovoked,AUSTRALIA,Queensland,Moreton Bay,Kakaying,M,"No injury, shark bit off stern of kayak",N,UNKNOW,39.0
2017-03-18,2017.0,Watercraft,USA,California,Monterey Bay,Kayaking,M,"No injury, kayak bitten",N,WHITE SHARK,28.0
2016-12-11,2016.0,Invalid,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Cuts to right ankle & foot,UNKNOWN,SHARK INVOLVEMENT NOT CONFIRMED,19.0
2016-10-13,2016.0,Invalid,MEXICO,Unknow,Guadalupe Island,Cage Diving,M,"Shark breached cage, no injury to diver",UNKNOWN,WHITE SHARK,28.0
2016-09-05,2016.0,Unprovoked,AUSTRALIA,Western Australia,Injidup,Surfing,M,"No inury, board broken in half by shark",N,UNKNOW,28.0
2016-06-21,2016.0,Unprovoked,USA,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",Wading,M,Injuries to right calf,N,UNKNOW,28.0
2016-04-23,2016.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Minor injury to left foot,N,UNKNOW,15.0
2016-04-09,2016.0,Unprovoked,NEW CALEDONIA,Grand Terre,Poe Beach,Walking,F,FATAL,Y,"TIGER SHARK, 2.5 M",69.0
2016-01-24,2016.0,Unprovoked,USA,Texas,Off Surfside,Spearfishing,M,"Bruised ribs & tail bone, speargun broken and wetsuit cut",N,BULL SHARKS X 2,28.0
2015-12-11,2015.0,Unprovoked,BAHAMAS,Unknow,Off Andros Island,Lobster fishing,M,"Bitten on thigh, abdomen & hand",N,BULL SHARK,26.0
2015-08-22,2015.0,Invalid,USA,Florida,"Cocoa Beach, Brevard  County",Surfing,M,Wound to right lower leg,UNKNOWN,SHARK INVOLVEMENT NOT CONFIRMED,28.0
2015-06-14,2015.0,Unprovoked,USA,North Carolina,"Oak Island, Brunswick County",Wading,M,Arm amputated below shoulder,N,BULL SHARK,16.0
2015-01-30,2015.0,Watercraft,AUSTRALIA,Queensland,"Nerang River, Surfer's  Paradise",Rowing,M,"No injury, shark's teeth scratched hull",N,"BULL SHARK, 1.3 M",57.0
2014-11-08,2014.0,Unprovoked,USA,Florida,"Fort Pierce Inlet State Park, St. Lucie County",Surfing,M,Minor injuries to hand & arm,N,UNKNOW,18.0
2014-08-24,2014.0,Unprovoked,USA,North Carolina,"Off Masonboro Island, New Hanover County",Kite boarding,M,Laceration to left foot,N,4' SHARK,28.0
